id,vel_mean,tiempo_terminar,colision,react_time,quieto_count
952700,2.2004525218156443,53.91058707237244,False,0.026138166966043236,0
532423,2.238743495547988,52.97115993499756,False,0.022821166268843902,0
227036,2.3026952988701472,51.494943380355835,False,0.015881306731662832,0
426632,2.0332316691613928,58.46770191192627,False,0.02190777141866781,0
836584,2.0023697863161307,59.1847038269043,False,0.02282347913807399,0
670655,2.02185802007256,58.643227100372314,False,0.017269264703669848,0
798790,2.027650979279006,58.4274218082428,False,0.01435111994623134,0
131534,2.0589932214517797,57.657220125198364,False,0.017848937802054918,0
781444,2.0963761401759777,56.57592558860779,False,0.018753962571596644,0
521168,2.0988430963988396,56.50839138031006,False,0.02977806361014538,0
854972,2.148370577237542,55.113855600357056,False,0.019939313589878563,0
545907,2.1604465894991502,54.94213557243347,False,0.016179051420994968,0
761200,2.321545981518849,50.94295597076416,False,0.02239312458502556,0
507607,2.321248995309769,50.86550712585449,False,0.021318676052306643,0
711518,2.321708104031395,51.14851236343384,False,0.011667609440996766,0
578402,2.1789363972044415,54.1525182723999,False,0.011593684894966918,0
792017,1.880094155241372,62.92738127708435,False,0.0191235353540793,0
140567,1.7546951896437608,67.32908415794373,False,0.023512397706134627,0
857391,1.7894915850263537,65.9994580745697,False,0.011317592353711003,0
937472,1.7968909870774017,65.90515065193176,False,0.015201915167901574,0
99542,1.8194414005491735,65.09934592247009,False,0.024541186234997067,0
484465,1.8588507754621704,63.67796039581299,False,0.019369395269355688,0
34675,1.8525363663417227,63.938740491867065,False,0.018893794307057617,0
87565,1.8645401640199735,63.44820833206177,False,0.018495732145387273,0
58287,1.912726775399211,61.84738731384277,False,0.014582843749103683,0
479147,1.9333145146549506,61.21081304550171,False,0.011224769280498894,0
152748,1.9572799738001063,60.424930572509766,False,0.025102339748483644,0
628052,2.002303367386964,59.20852184295654,False,0.019233208416392984,0
785905,1.9862325215763137,59.56867718696594,False,0.029537889093004657,0
155171,1.9888305479616795,59.470664978027344,False,0.02432226213811718,0
857262,1.9862386948339177,59.407613039016724,False,0.012953256558689702,0
838475,2.0005656368687363,59.08930540084839,False,0.029156033501487565,0
434117,2.0451498696150185,57.72040796279907,False,0.01958677687532596,0
916515,2.050448358564076,57.71684694290161,False,0.012371688392213049,0
